"Id","topic"
"60767142","1"
"60777698","6"
"60773690","6"
"60776508","1"
"60776830","6"
"60777815","1"
"60779918","6"
"60780363","3"
"60781863","6"
"60780414","6"
"60780430","6"
"60780994","6"
"60782597","3"
"60787121","6"
"60784136","6"
"60793000","6"
"60785532","6"
"60787056","4"
"60790039","6"
"60792548","7"
"60792675","4"
"60798320","1"
"60793702","6"
"60794514","5"
"60796071","1"
"60796850","6"
"60797074","6"
"60798547","1"
"60798792","5"
"60798979","1"
"60802068","6"
"60799406","7"
"60799889","1"
"60799906","1"
"60800242","6"
"60804023","6"
"60800697","3"
"60802868","6"
"60803008","3"
"60804257","3"
"60804630","6"
"60815361","5"
"60812356","1"
"60806805","6"
"60810617","3"
"60818840","6"
"60812566","6"
"60815772","3"
"60816257","6"
"60818246","7"
"60820556","6"
"60823499","6"
"60820772","6"
"60820794","6"
"60820845","6"
"60820920","7"
"60821209","3"
"60823037","2"
"60823697","5"
"60825969","6"
"60826148","6"
"60823804","7"
"60824130","7"
"60825119","3"
"60825702","6"
"60825824","1"
"60826742","6"
"60827140","3"
"60828199","6"
"60829084","6"
"60830399","3"
"60831307","2"
"60831555","1"
"60832006","1"
"60832376","6"
"60832842","6"
"60833391","6"
"60833490","6"
"60834531","6"
"60834567","6"
"60835750","3"
"60836111","6"
"60836490","6"
"60836588","6"
"60836962","6"
"60837097","6"
"60837509","6"
"60838179","6"
"60838305","6"
"60839686","6"
"60839910","6"
"60841745","6"
"60840124","6"
"60840181","4"
"60840233","6"
"60840568","3"
"60840971","1"
"60841051","6"
"60842901","6"
"60843080","1"
"60843170","1"
"60843342","6"
"60850012","6"
"60844520","6"
"60844628","6"
"60845551","1"
"60846493","1"
"60855507","6"
"60850999","6"
"60851306","6"
"60852000","6"
"60852284","6"
"60852936","3"
"60853664","6"
"70256","6"
"60858460","1"
"60860443","7"
"60860946","3"
"60863045","3"
"60864860","7"
"60866255","6"
"60869404","6"
"60867035","7"
"60867991","6"
"60868504","5"
"60868699","6"
"60868897","6"
"60870063","1"
"60870354","1"
"60870507","6"
"60872588","1"
"60871209","6"
"70280","6"
"60873984","4"
"60871950","1"
"60872024","1"
"60872246","1"
"60876169","3"
"60873951","6"
"60874095","6"
"60874294","6"
"60875716","1"
"60877068","1"
"60877223","6"
"60878541","6"
"60877550","6"
"60877748","6"
"60879041","1"
"60878173","6"
"60878351","6"
"60878794","3"
"60878804","6"
"60879216","6"
"60879399","6"
"60881057","6"
"60881598","1"
"60882707","6"
"60887286","7"
"60883507","7"
"60884467","6"
"60887187","1"
"60888219","6"
"60888269","6"
"60889924","6"
"60891200","3"
"60891322","5"
"60891500","6"
"60891602","1"
"60891718","1"
"60893903","2"
"60894822","1"
"60892945","7"
"60893358","6"
"60893598","6"
"60894411","1"
"60894843","1"
"60894898","1"
"60895213","6"
"60905093","6"
"60896703","6"
"60896891","7"
"60897469","7"
"60898418","6"
"60904241","1"
"71382","1"
"60905773","6"
"60908146","1"
"60907116","1"
"60907198","4"
"60907542","6"
"60908301","6"
"60910332","6"
"60912984","3"
"60913130","2"
"60913195","6"
"60916327","6"
"60916444","1"
"60916612","4"
"60917038","1"
"60918374","6"
"60918991","6"
"60921585","6"
"60919160","6"
"60919461","6"
"71418","1"
"60922750","2"
"60923428","1"
"60923486","1"
"60928342","6"
"60924860","6"
"60926439","6"
"60926824","3"
"60926870","6"
"60927921","2"
"60930720","6"
"60930990","6"
"60932974","1"
"60933835","6"
"60934400","3"
"60936613","1"
"60941262","7"
"60937200","1"
"60937956","6"
"60962823","1"
"60940063","6"
"60961968","6"
"60962756","6"
"60963030","6"
"60963083","1"
"60965721","2"
"60963842","3"
"60963990","3"
"60964656","6"
"60964828","6"
"60965056","6"
"60967840","6"
"60968880","3"
"71554","3"
"60969120","6"
"60971787","3"
"60975075","1"
"60972036","6"
"60973672","3"
"60974270","6"
"60977244","3"
"60974629","1"
"60974738","7"
"60977985","6"
"60976256","1"
"60976869","1"
"60976939","1"
"60977632","6"
"60977814","6"
"60981132","6"
"60983736","3"
"60984981","6"
"60981793","7"
"60982058","1"
"60982453","7"
"60982570","7"
"60983438","1"
"60987082","7"
"60987445","1"
"60987598","6"
"60988150","1"
"60989605","5"
"60991142","7"
"60991573","3"
"60991615","3"
"60992586","6"
"60992611","7"
"60993575","1"
"60994412","6"
"60994442","4"
"60998210","6"
"60995108","6"
"60995174","3"
"60997790","6"
"60998029","6"
"60999030","6"
"60999087","1"
"60999096","6"
"71639","2"
"61000526","6"
"61000814","7"
"61002009","1"
"61003714","6"
"61002031","3"
"61002151","6"
"61002224","7"
"61003105","6"
"61008195","3"
"61004075","2"
"61004817","6"
"61005026","6"
"61005170","7"
"61009374","7"
"61011300","5"
"61011655","6"
"61011675","1"
"61012833","6"
"61013746","7"
"61014650","3"
"61014928","6"
"61016616","6"
"61015023","6"
"61015397","7"
"61017999","1"
"61015827","1"
"61015848","3"
"61016452","7"
"61017361","6"
"61017533","6"
"61018374","6"
"61019376","6"
"61025253","1"
"61019649","7"
"61024608","6"
"61025574","6"
"61026655","7"
"61028774","6"
"61029574","6"
"61030241","6"
"61033050","6"
"61031157","6"
